,Idrecorrido,Powercod,Rutasalida,Placa,Capacidad,Fechaprogramacion,Horaprogramacion,Ingreso_Salida,Latitud,Longitud
64,44.0,D3DB9F92,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,18:16,ENTRADA,1037991333.0,-7548895833.0
65,1.0,A6B7B684,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,18:18,ENTRADA,1039837.0,-7549342667.0
66,1.0,0648B384,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,18:18,ENTRADA,1039837333.0,-7549346167.0
67,1.0,2A45EAB0,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,18:18,ENTRADA,10398375.0,-7549345167.0
68,1.0,F6FC8F88,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,18:25,ENTRADA,1039386167.0,-75484185.0
69,44.0,265A6488,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,18:26,ENTRADA,1037912667.0,-7547571167.0
70,45.0,C4C5D25A,Ruta 1 Olaya,TVB199,31.0,10/12/2023,18:26,ENTRADA,1040181167.0,-75462435.0
71,45.0,36A4B284,Ruta 1 Olaya,TVB199,31.0,10/12/2023,18:28,ENTRADA,1040250333.0,-7545983167.0
72,45.0,B3353AA3,Ruta 1 Olaya,TVB199,31.0,10/12/2023,18:28,ENTRADA,1040250333.0,-7545983167.0
73,44.0,63143AA3,Ruta 3 Blas de Lezo,TVB862,22.0,10/12/2023,18:29,ENTRADA,1037955333.0,-7547097333.0
74,45.0,0A17EDB0,Ruta 1 Olaya,TVB199,31.0,10/12/2023,18:30,ENTRADA,1040504167.0,-7545421167.0
75,1.0,66676576,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,18:32,ENTRADA,1039005667.0,-75477795.0
76,45.0,2A65F5B0,Ruta 1 Olaya,TVB199,31.0,10/12/2023,18:37,ENTRADA,1037875333.0,-7545126333.0
77,45.0,73A8A092,Ruta 1 Olaya,TVB199,31.0,10/12/2023,18:39,ENTRADA,1037605667.0,-7545178.0
78,46.0,0A366CA5,Ruta 1 Olaya,TVB199,31.0,10/12/2023,19:03,SALIDA,1033933167.0,-7549297333.0
79,46.0,F28451BE,Ruta 1 Olaya,TVB199,31.0,10/12/2023,19:05,SALIDA,1033933167.0,-7549297333.0
80,46.0,6A813FA5,Ruta 1 Olaya,TVB199,31.0,10/12/2023,19:06,SALIDA,1033933167.0,-7549297333.0
81,46.0,4A9A68A5,Ruta 1 Olaya,TVB199,31.0,10/12/2023,19:08,SALIDA,1033933167.0,-7549297333.0
82,46.0,9A9D3BA5,Ruta 1 Olaya,TVB199,31.0,10/12/2023,19:08,SALIDA,1033933167.0,-7549297333.0
83,46.0,F32E9499,Ruta 1 Olaya,TVB199,31.0,10/12/2023,19:10,SALIDA,1033933167.0,-7549297333.0
84,46.0,B3D69399,Ruta 1 Olaya,TVB199,31.0,10/12/2023,19:11,SALIDA,1033933167.0,-7549297333.0
85,46.0,4AFCEFB0,Ruta 1 Olaya,TVB199,31.0,10/12/2023,19:14,SALIDA,1033933167.0,-7549297333.0
86,46.0,12C253BE,Ruta 1 Olaya,TVB199,31.0,10/12/2023,19:18,SALIDA,1033941667.0,-7549298333.0
87,2.0,9A38DDB0,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,19:19,SALIDA,10339315.0,-7549284833.0
88,2.0,8A9240A5,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,19:20,SALIDA,1033938333.0,-7549304333.0
89,2.0,7465D35A,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,19:20,SALIDA,1033945167.0,-7549315833.0
90,2.0,6A3EE4B0,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,19:20,SALIDA,1033972833.0,-7549323.0
91,2.0,56D3AA84,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,19:20,SALIDA,1034009833.0,-75493245.0
92,2.0,03B839A3,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,19:20,SALIDA,1034062833.0,-7549319833.0
93,2.0,B37B39A3,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,19:20,SALIDA,10341.0,-7549319667.0
94,2.0,63FDA3A3,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,19:21,SALIDA,1034180833.0,-7549484833.0
95,2.0,76F56E88,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,19:22,SALIDA,1034182167.0,-7549668833.0
96,2.0,A6656588,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/12/2023,19:22,SALIDA,1034217333.0,-75497095.0
97,47.0,4A25F6B0,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,5:49,ENTRADA,1043738167.0,-7551666667.0
98,47.0,BA087B39,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,5:58,ENTRADA,10412015.0,-7552133667.0
99,47.0,56D3AA84,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,5:58,ENTRADA,10412015.0,-7552133667.0
100,47.0,8A9240A5,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:03,ENTRADA,1040812333.0,-7551246333.0
101,47.0,B37B39A3,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:04,ENTRADA,1040759333.0,-7550955833.0
102,47.0,03B839A3,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:08,ENTRADA,10406235.0,-75501765.0
103,47.0,7465D35A,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:12,ENTRADA,1039799833.0,-7549327667.0
104,47.0,04DAB85A,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:14,ENTRADA,1039445167.0,-7548811167.0
105,47.0,046AD25A,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:16,ENTRADA,1039361667.0,-7548387333.0
106,47.0,DACC73A5,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:24,ENTRADA,1037935667.0,-7547953667.0
107,47.0,C44A8F5A,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:26,ENTRADA,1037900167.0,-7547464.0
108,47.0,36958084,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:27,ENTRADA,1037889167.0,-7547304.0
109,47.0,AAB07239,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:28,ENTRADA,1037876333.0,-7547166333.0
110,47.0,A38F39A3,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:28,ENTRADA,1037875667.0,-7547165667.0
111,47.0,EA16F2B0,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:29,ENTRADA,1038052833.0,-7547027667.0
112,47.0,D6D88284,Ruta 2 Daniel Lemaitre,TVB199,31.0,10/13/2023,6:37,ENTRADA,1037177.0,-7545581333.0
113,48.0,D3DB9F92,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,7:07,SALIDA,10339205.0,-7549288167.0
114,48.0,265A6488,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,7:14,SALIDA,1033925167.0,-7549288667.0
115,48.0,63143AA3,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,7:15,SALIDA,1033925167.0,-7549288667.0
116,48.0,C398A092,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,7:17,SALIDA,10339265.0,-7549293833.0
117,49.0,1225E303,Ruta 1 Olaya,TVC121 ,40.0,10/13/2023,13:58,SALIDA,1033911254.0,-7549303912.0
118,12.0,AAB07239,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,16:31,SALIDA,10.33916,-75.4929
119,12.0,469F6F88,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,16:32,SALIDA,10.3391933333333,-75.4929183333333
120,12.0,0A0F8839,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,16:32,SALIDA,10.3391933333333,-75.4929183333333
121,12.0,86F0B684,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,16:32,SALIDA,10.3391933333333,-75.4929183333333
122,12.0,C4288F5A,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,16:33,SALIDA,10.339245,-75.4928366666667
123,50.0,12C253BE,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:33,SALIDA,10.33923,-75.4929833333333
124,50.0,4A25F6B0,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:33,SALIDA,10.33923,-75.4929833333333
125,50.0,6A79EAB0,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:33,SALIDA,10.33923,-75.4929833333333
126,50.0,04DAB85A,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:33,SALIDA,10.33923,-75.4929833333333
127,50.0,046AD25A,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:33,SALIDA,10.33923,-75.4929833333333
128,50.0,7465D35A,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:33,SALIDA,10.33923,-75.4929833333333
129,50.0,DA77F5B0,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:33,SALIDA,10.33923,-75.4929833333333
130,50.0,F697B684,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:33,SALIDA,10.33923,-75.4929833333333
131,50.0,CAFBECB0,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:33,SALIDA,10.33923,-75.4929833333333
132,50.0,BA087B39,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:33,SALIDA,10.33923,-75.4929833333333
133,12.0,DACC73A5,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,16:34,SALIDA,10.3392516666667,-75.4929316666667
134,50.0,4A2D7B39,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:34,SALIDA,10.3392083333333,-75.49297
135,12.0,DA2DE9B0,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,16:34,SALIDA,10.3392616666667,-75.492965
136,50.0,8A3EF8B0,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:35,SALIDA,10.3392616666667,-75.4929866666667
137,50.0,F3C66C8F,Ruta 4 Daniel Lemetre ADM,TVB199,31.0,10/13/2023,16:35,SALIDA,10.3392616666667,-75.4929866666667
138,52.0,D3D69399,Ruta 1 Olaya,TVB199,31.0,10/13/2023,17:56,ENTRADA,10.406925,-75.4926683333333
139,12.0,73A4A3A3,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,18:00,ENTRADA,10.3835133333333,-75.5059516666667
140,12.0,C398A092,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,18:12,ENTRADA,10.3781666666667,-75.4977716666667
141,12.0,D3DB9F92,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,18:13,ENTRADA,10.378245,-75.49776
142,12.0,F24951BE,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/13/2023,18:18,ENTRADA,10.40684,-75.5051583333333
143,12.0,DAC3E8B0,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/13/2023,18:18,ENTRADA,10.4068066666667,-75.505015
144,52.0,C4C5D25A,Ruta 1 Olaya,TVB199,31.0,10/13/2023,18:26,ENTRADA,10.4017616666667,-75.4624683333333
145,52.0,B3353AA3,Ruta 1 Olaya,TVB199,31.0,10/13/2023,18:29,ENTRADA,10.4025283333333,-75.4598216666667
146,52.0,36A4B284,Ruta 1 Olaya,TVB199,31.0,10/13/2023,18:29,ENTRADA,10.4025283333333,-75.4598216666667
147,52.0,0A17EDB0,Ruta 1 Olaya,TVB199,31.0,10/13/2023,18:31,ENTRADA,10.4050766666667,-75.45409
148,12.0,265A6488,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,18:31,ENTRADA,10.37913,-75.4757266666667
149,13.0,A6B7B684,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/13/2023,18:33,ENTRADA,10.398345,-75.4935283333333
150,13.0,2A45EAB0,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/13/2023,18:33,ENTRADA,10.398345,-75.4935283333333
151,52.0,73A8A092,Ruta 1 Olaya,TVB199,31.0,10/13/2023,18:37,ENTRADA,10.3787033333333,-75.451265
152,52.0,2A65F5B0,Ruta 1 Olaya,TVB199,31.0,10/13/2023,18:37,ENTRADA,10.3787033333333,-75.451265
153,13.0,66676576,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/13/2023,18:49,ENTRADA,10.3903383333333,-75.4782216666667
154,13.0,B3D69399,Ruta 1 Olaya,TVB199,31.0,10/13/2023,19:00,SALIDA,10.3392983333333,-75.49298
155,53.0,5A178639,Ruta 1 Olaya,TVB199,31.0,10/13/2023,19:03,SALIDA,10.3393466666667,-75.4928916666667
156,53.0,6A813FA5,Ruta 1 Olaya,TVB199,31.0,10/13/2023,19:04,SALIDA,10.3393316666667,-75.492965
157,13.0,F3F40D9C,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,19:06,SALIDA,10.3392433333333,-75.49298
158,53.0,0A366CA5,Ruta 1 Olaya,TVB199,31.0,10/13/2023,19:06,SALIDA,10.339315,-75.4929766666667
159,53.0,F28451BE,Ruta 1 Olaya,TVB199,31.0,10/13/2023,19:07,SALIDA,10.33932,-75.492975
160,53.0,03B839A3,Ruta 1 Olaya,TVB199,31.0,10/13/2023,19:08,SALIDA,10.33933,-75.49298
161,53.0,9A9D3BA5,Ruta 1 Olaya,TVB199,31.0,10/13/2023,19:08,SALIDA,10.33933,-75.49298
162,13.0,2652B784,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,19:11,SALIDA,10.3392533333333,-75.49298
163,53.0,F32E9499,Ruta 1 Olaya,TVB199,31.0,10/13/2023,19:13,SALIDA,10.3392633333333,-75.493005
164,13.0,66686676,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,19:13,SALIDA,10.3391716666667,-75.4930033333333
165,13.0,B651B184,Ruta 3 Blas de Lezo,TVB862,22.0,10/13/2023,19:15,SALIDA,10.3392533333333,-75.4929783333333
166,53.0,4AFCEFB0,Ruta 1 Olaya,TVB199,31.0,10/13/2023,19:17,SALIDA,10.3392916666667,-75.4930266666667
167,13.0,63FDA3A3,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/13/2023,19:18,ENTRADA,10.3392483333333,-75.4929233333333
168,13.0,8A9240A5,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/13/2023,19:18,ENTRADA,10.3392483333333,-75.4929233333333
169,13.0,6A3EE4B0,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/13/2023,19:19,ENTRADA,10.3392483333333,-75.4929233333333
170,13.0,7AB3DFB0,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/13/2023,19:19,ENTRADA,10.3392483333333,-75.4929233333333
171,13.0,76F56E88,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/13/2023,19:19,ENTRADA,10.3392483333333,-75.4929233333333
172,53.0,5A53F5B0,Ruta 1 Olaya,TVB199,31.0,10/13/2023,19:21,SALIDA,10.3392733333333,-75.4929666666667
173,13.0,A6656588,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/13/2023,19:24,ENTRADA,10.34184,-75.4949066666667
174,13.0,56D3AA84,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/13/2023,19:24,ENTRADA,10.34183,-75.494925
175,54.0,,Ruta 1 Olaya,TVB199,31.0,10/14/2023,6:06,ENTRADA,10.4071583333333,-75.4944833333333
176,55.0,86F0B684,Ruta 3 Blas de Lezo,TVB862,22.0,10/14/2023,6:07,ENTRADA,10.3884266666667,-75.5028566666667
177,13.0,2A8DDCB0,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/14/2023,6:18,ENTRADA,10.4148933333333,-75.5201866666667
178,13.0,2A8DDCB0,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/14/2023,6:18,ENTRADA,10.4144683333333,-75.5204733333333
179,54.0,4AAFF7B0,Ruta 1 Olaya,TVB199,31.0,10/14/2023,6:18,ENTRADA,10.4061433333333,-75.4811833333333
180,13.0,D650B084,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/14/2023,6:19,ENTRADA,10.413035,-75.5213833333333
181,13.0,D650B084,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/14/2023,6:21,ENTRADA,10.41134,-75.5202166666667
182,54.0,4AFCEFB0,Ruta 1 Olaya,TVB199,31.0,10/14/2023,6:23,ENTRADA,10.4012116666667,-75.4713966666667
183,13.0,0474DA5A,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/14/2023,6:23,ENTRADA,10.408605,-75.515195
184,13.0,8A9240A5,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/14/2023,6:24,ENTRADA,10.4080583333333,-75.5124183333333
185,13.0,B410935A,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/14/2023,6:40,ENTRADA,10.3902666666667,-75.478125
186,55.0,C28751BE,Ruta 3 Blas de Lezo,TVB862,22.0,10/14/2023,6:43,ENTRADA,10.3796583333333,-75.4823183333333
187,54.0,535339A3,Ruta 1 Olaya,TVB199,31.0,10/14/2023,6:44,ENTRADA,10.405375,-75.4532816666667
188,55.0,93139499,Ruta 3 Blas de Lezo,TVB862,22.0,10/14/2023,6:45,ENTRADA,10.3793333333333,-75.4794516666667
189,55.0,43283AA3,Ruta 3 Blas de Lezo,TVB862,22.0,10/14/2023,6:45,ENTRADA,10.3793516666667,-75.4792816666667
190,55.0,03183AA3,Ruta 3 Blas de Lezo,TVB862,22.0,10/14/2023,6:45,ENTRADA,10.37936,-75.4791333333333
191,54.0,D65DA484,Ruta 1 Olaya,TVB199,31.0,10/14/2023,6:47,ENTRADA,10.3906283333333,-75.4489016666667
192,54.0,5A53F5B0,Ruta 1 Olaya,TVB199,31.0,10/14/2023,6:48,ENTRADA,10.3900466666667,-75.4491033333333
193,54.0,44D5D25A,Ruta 1 Olaya,TVB199,31.0,10/14/2023,6:51,ENTRADA,10.3782916666667,-75.45132
194,54.0,F4548B5A,Ruta 1 Olaya,TVB199,31.0,10/14/2023,6:51,ENTRADA,10.3782916666667,-75.45132
195,13.0,66676576,Ruta 2 Daniel Lemaitre,TVC949,16.0,10/14/2023,7:05,SALIDA,10.3391766666667,-75.49288
196,56.0,0A17EDB0,Ruta 1 Olaya,TVB199,31.0,10/14/2023,7:05,SALIDA,10.3392183333333,-75.49294
197,56.0,2A65F5B0,Ruta 1 Olaya,TVB199,31.0,10/14/2023,7:06,SALIDA,10.3392183333333,-75.49294
